DANE_COD,AREA_ACADEMICA,GRADO,LOGRO_POSITIVO,LOGRO_NEGATIVO
219212000339,COMUNICACION COMUNITARIA,0,"Se expresa de forma espontanea y disfruta de los cuentos y canciones. Además, realiza ejercicios de pre-escritura","Se le dificulta  expresarse de forma espontanea y disfruta de los cuentos y canciones. Además, tiene dificultad en realizar ejercicios de pre-escritura"
219212000339,COMUNICACION COMUNITARIA,1,"Lee con fluidez y escribe  de manera comprensiva el bloque  de palabras (familia, partes del cuerpo, elementos de la casa)","Tiene dificultad  en la lectura  y  escritura con los bloque  de palabras propuestos  (familia, partes del cuerpo, elementos de la casa)"
219212000339,COMUNICACION COMUNITARIA,2,Comprende los textos cortos que lee y construye pequeños escritos haciendo uso correcto de las combinaciones  y silabas inversas.,Tiene dificultad en la comprensión  textos cortos que lee y  escribe con varios errores de coherencia  usando  las combinaciones  y silabas inversas.
219212000339,COMUNICACION COMUNITARIA,3,"Lee con fluidez  textos narrativos (cuentos, fábulas,  mitos) y escribe con buena ortografia y  de manera clara.","Lee con dificultad  textos narrativos (cuentos, fábulas,  mitos) y escribe con errores de  ortografia."
219212000339,COMUNICACION COMUNITARIA,4,Escribe correctamente algunos textos narrativos  teniendo en cuenta la estructura de ellos  y lee con seguridad.,"Escribe con errores los  textos narrativos  y no tiene en cuenta la estructura de ellos, Ademas,  lee con inseguridad."
219212000339,COMUNICACION COMUNITARIA,5,Analiza y comprende la estructura de los textos narrativos y los construye con buena ortografía. Lee con buena entonación.,Tiene dificultad en la comprensión de textos narrativos y los escribe con errores de ortografía. Lee muy pausadamente.
219212000339,COMUNICACION COMUNITARIA,6,"Positivo: Reconoce y produce textos narrativos sencillos sobre su entorno, aplicando elementos básicos y normas de escritura.",Negativo: Presenta dificultades para reconocer y producir textos narrativos sencillos sobre su entorno y aplicar elementos básicos y normas de escritura.
219212000339,COMUNICACION COMUNITARIA,7,"Positivo: Produce textos narrativos coherentes sobre su entorno, organizando ideas y utilizando adecuadamente conectores y signos de puntuación.","Negativo: Presenta dificultades para producir textos narrativos coherentes sobre su entorno, organizar ideas y usar conectores y signos de puntuación."
219212000339,COMUNICACION COMUNITARIA,8,"Positivo: Produce y organiza textos narrativos (cuento) sobre el territorio, aplicando procesos de escritura, uso adecuado de conectores lógicos, oraciones compuestas coordinadas y signos de puntuación.","Negativo: Presenta dificultades para producir y organizar textos narrativos (cuento) sobre el territorio, así como para aplicar los procesos de escritura, el uso de conectores lógicos, oraciones compuestas coordinadas y signos de puntuación."
219212000339,COMUNICACION COMUNITARIA,9,"Positivo: Produce crónicas sobre procesos comunitarios, expresando su voz con fluidez y aplicando adecuadamente la organización textual y normas de escritura.","Negativo: Presenta dificultades para producir crónicas sobre procesos comunitarios, expresar su voz con fluidez y aplicar la organización textual y normas de escritura."
219212000339,COMUNICACION COMUNITARIA,10,"Positivo: Produce textos narrativos y argumentativos desde el territorio, organizando ideas y aplicando adecuadamente la estructura y los signos de puntuación.","Negativo: Presenta dificultades para producir textos narrativos y argumentativos desde el territorio, organizar ideas y aplicar la estructura y los signos de puntuación."
